iter, episode, ep_real_reward, reward, loss, epsilon 
130, 0, 8.0, 1.0, 0, 1.0 
285, 1, 9.0, 0.0, 0, 1.0 
438, 2, 9.0, -1.0, 0, 1.0 
565, 3, 6.0, -1.0, 0, 1.0 
719, 4, 7.0, 0.0, 0, 1.0 
845, 5, 11.0, 1.0, 0, 1.0 
997, 6, 9.0, -1.0, 0, 1.0 
1133, 7, 6.0, 0.0, 0, 1.0 
1289, 8, 8.0, 0.0, 0, 1.0 
1423, 9, 8.0, 1.0, 0, 1.0 
1567, 10, 9.0, 1.0, 0, 1.0 
1686, 11, 6.0, 0.0, 0, 1.0 
1820, 12, 8.0, 0.0, 0, 1.0 
1993, 13, 11.0, 1.0, 0, 1.0 
2131, 14, 8.0, 1.0, 0, 1.0 
2252, 15, 7.0, 0.0, 0, 1.0 
2462, 16, 9.0, -1.0, 0, 1.0 
2587, 17, 5.0, 0.0, 0, 1.0 
2749, 18, 14.0, 0.0, 0, 1.0 
2863, 19, 7.0, 0.0, 0, 1.0 
3010, 20, 10.0, -1.0, 0, 1.0 
3112, 21, 9.0, 1.0, 0, 1.0 
3267, 22, 9.0, 1.0, 0, 1.0 
3359, 23, 6.0, 0.0, 0, 1.0 
3479, 24, 6.0, 1.0, 0, 1.0 
3633, 25, 7.0, 0.0, 0, 1.0 
3789, 26, 6.0, 0.0, 0, 1.0 
3991, 27, 10.0, 0.0, 0, 1.0 
4111, 28, 12.0, 1.0, 0, 1.0 
4275, 29, 9.0, 0.0, 0, 1.0 
4396, 30, 9.0, 1.0, 0, 1.0 
4504, 31, 10.0, 0.0, 0, 1.0 
4663, 32, 10.0, 0.0, 0, 1.0 
4791, 33, 5.0, 1.0, 0, 1.0 
4929, 34, 8.0, 1.0, 0, 1.0 
5121, 35, 8.0, 0.0, 0, 1.0 
5262, 36, 7.0, 0.0, 0, 1.0 
5389, 37, 7.0, 1.0, 0, 1.0 
5528, 38, 9.0, 1.0, 0, 1.0 
5730, 39, 11.0, 0.0, 0, 1.0 
5904, 40, 14.0, 0.0, 0, 1.0 
6029, 41, 7.0, 1.0, 0, 1.0 
6216, 42, 8.0, 1.0, 0, 1.0 
6366, 43, 8.0, 1.0, 0, 1.0 
6514, 44, 8.0, 1.0, 0, 1.0 
6704, 45, 12.0, 1.0, 0, 1.0 
6862, 46, 10.0, 1.0, 0, 1.0 
6986, 47, 8.0, 1.0, 0, 1.0 
7138, 48, 9.0, 0.0, 0, 1.0 
7249, 49, 7.0, 0.0, 0, 1.0 
7374, 50, 10.0, 0.0, 0, 1.0 
7497, 51, 5.0, 1.0, 0, 1.0 
7605, 52, 10.0, 1.0, 0, 1.0 
7756, 53, 8.0, 0.0, 0, 1.0 
7874, 54, 7.0, 1.0, 0, 1.0 
8045, 55, 10.0, 0.0, 0, 1.0 
8227, 56, 9.0, 0.0, 0, 1.0 
8403, 57, 13.0, 1.0, 0, 1.0 
8550, 58, 8.0, -0.5, 0, 1.0 
8654, 59, 5.0, 0.0, 0, 1.0 
8817, 60, 8.0, 1.0, 0, 1.0 
9016, 61, 15.0, 1.0, 0, 1.0 
9137, 62, 9.0, 1.0, 0, 1.0 
9320, 63, 8.0, 1.0, 0, 1.0 
9427, 64, 6.0, 1.0, 0, 1.0 
9550, 65, 5.0, 1.0, 0, 1.0 
9699, 66, 11.0, 1.0, 0, 1.0 
9834, 67, 9.0, 0.0, 0, 1.0 
9947, 68, 7.0, 1.0, 0, 1.0 
10107, 69, 9.0, -1.0, 0.16960912942886353, 0.8804902880812191 
10265, 70, 14.0, 0.0, 0.24058422446250916, 0.7283378693488802 
10354, 71, 8.0, 1.0, 0.29650169610977173, 0.6545191968457282 
10476, 72, 11.0, 1.0, 0.24128738045692444, 0.5653319072546238 
10621, 73, 15.0, 1.0, 0.46477076411247253, 0.47499701582462456 
10771, 74, 17.0, 1.0, 0.031207658350467682, 0.39670797674223274 
10869, 75, 10.0, 0.0, 0.10088543593883514, 0.3526689571783735 
10984, 76, 9.0, 1.0, 0.37708741426467896, 0.30718401096041137 
11147, 77, 13.0, 1.0, 0.23653843998908997, 0.2525803708062715 
11266, 78, 11.0, 0.0, 0.16526676714420319, 0.21895007804219038 
11412, 79, 12.0, 1.0, 0.648467481136322, 0.18374309249345508 
11534, 80, 11.0, 0.0, 0.3640601634979248, 0.15870555581072057 
11723, 81, 11.0, 0.0, 0.38489270210266113, 0.1264838264972154 
11906, 82, 10.0, 0.0, 0.17379607260227203, 0.10153286921747826 
12071, 83, 8.0, 0.0, 0.3777127265930176, 0.08328460228667359 
12193, 84, 7.0, 0.0, 0.08656109869480133, 0.07193592377820761 
12351, 85, 7.0, 0.0, 0.15204085409641266, 0.05950509410892017 
12549, 86, 10.0, 0.0, 0.16100476682186127, 0.05 
12713, 87, 8.0, 1.0, 0.5216015577316284, 0.05 
12840, 88, 8.0, 0.0, 0.1500251144170761, 0.05 
13003, 89, 9.0, 0.0, 0.5914133787155151, 0.05 
13208, 90, 16.0, 1.0, 0.2469329535961151, 0.05 
13320, 91, 10.0, 0.0, 0.1594449132680893, 0.05 
13435, 92, 8.0, 1.0, 0.23592427372932434, 0.05 
13560, 93, 8.0, 1.0, 0.011309297755360603, 0.05 
13801, 94, 11.0, 0.0, 0.2265089899301529, 0.05 
13949, 95, 8.0, 0.0, 0.1548396795988083, 0.05 
14075, 96, 9.0, 1.0, 0.16573452949523926, 0.05 
14232, 97, 10.0, 0.0, 0.3110125660896301, 0.05 
14345, 98, 11.0, 0.0, 0.4658530354499817, 0.05 
14472, 99, 10.0, 0.0, 0.22899313271045685, 0.05 
14653, 100, 15.0, 0.0, 0.09548697620630264, 0.05 
14767, 101, 9.0, 1.0, 0.23249199986457825, 0.05 
14901, 102, 16.0, 1.0, 0.21594345569610596, 0.05 
15042, 103, 14.0, 0.0, 0.4527745544910431, 0.05 
15150, 104, 9.0, 0.0, 0.17037905752658844, 0.05 
15312, 105, 20.0, 0.0, 0.2427101880311966, 0.05 
15455, 106, 13.0, 0.0, 0.16767331957817078, 0.05 
15570, 107, 13.0, 1.0, 0.17661112546920776, 0.05 
15675, 108, 9.0, 0.0, 0.2537756860256195, 0.05 
15785, 109, 9.0, 0.0, 0.15874865651130676, 0.05 
15918, 110, 14.0, 1.0, 0.15359890460968018, 0.05 
16124, 111, 17.0, 1.0, 0.24814924597740173, 0.05 
16232, 112, 10.0, 1.0, 0.46460413932800293, 0.05 
16385, 113, 14.0, 0.0, 0.24538256227970123, 0.05 
16582, 114, 12.0, 0.0, 0.10874079167842865, 0.05 
16709, 115, 14.0, 1.0, 0.10840332508087158, 0.05 
16833, 116, 12.0, 1.0, 0.3633591830730438, 0.05 
16979, 117, 14.0, 0.0, 0.37296023964881897, 0.05 
17109, 118, 14.0, 0.0, 0.1033245176076889, 0.05 
17297, 119, 16.0, 0.0, 0.08773261308670044, 0.05 
17456, 120, 16.0, 1.0, 0.20618873834609985, 0.05 
17574, 121, 10.0, 0.0, 0.20529305934906006, 0.05 
17683, 122, 13.0, 0.0, 0.3069765865802765, 0.05 
17801, 123, 13.0, 1.0, 0.08657173812389374, 0.05 
17905, 124, 10.0, 0.0, 0.21451959013938904, 0.05 
18068, 125, 17.0, 1.0, 0.1776011735200882, 0.05 
18234, 126, 23.0, 1.0, 0.2975689470767975, 0.05 
18441, 127, 27.0, 0.0, 0.2551303803920746, 0.05 
18590, 128, 16.0, 1.0, 0.23871830105781555, 0.05 
18772, 129, 24.0, 1.0, 0.30041515827178955, 0.05 
18889, 130, 14.0, 1.0, 0.07326927781105042, 0.05 
19015, 131, 11.0, 1.0, 0.17814435064792633, 0.05 
19198, 132, 21.0, 0.0, 0.246498242020607, 0.05 
19333, 133, 16.0, 1.0, 0.03693583607673645, 0.05 
19493, 134, 17.0, 1.0, 0.2551768720149994, 0.05 
19622, 135, 18.0, 0.0, 0.16915835440158844, 0.05 
19763, 136, 16.0, 1.0, 0.13778512179851532, 0.05 
19875, 137, 16.0, 1.0, 0.24023713171482086, 0.05 
20017, 138, 17.0, 1.0, 0.14171555638313293, 0.05 
20128, 139, 14.0, 0.0, 0.3579857647418976, 0.05 
20300, 140, 26.0, 1.0, 0.22375166416168213, 0.05 
20422, 141, 12.0, 1.0, 0.11899848282337189, 0.05 
20537, 142, 12.0, 1.0, 0.15561449527740479, 0.05 
20647, 143, 13.0, 0.0, 0.11423132568597794, 0.05 
20809, 144, 20.0, 1.0, 0.12243250012397766, 0.05 
20944, 145, 20.0, 0.0, 0.7027297019958496, 0.05 
21064, 146, 17.0, 1.0, 0.19224165380001068, 0.05 
21205, 147, 20.0, 0.0, 0.20720502734184265, 0.05 
21356, 148, 21.0, 1.0, 0.3262821137905121, 0.05 
21466, 149, 15.0, 1.0, 0.3421832323074341, 0.05 
21680, 150, 24.0, 1.0, 0.11606374382972717, 0.05 
21844, 151, 18.0, 1.0, 0.20107033848762512, 0.05 
21964, 152, 14.0, 1.0, 0.2719137966632843, 0.05 
22090, 153, 11.0, 1.0, 0.2680152654647827, 0.05 
22206, 154, 18.0, 0.0, 0.32713767886161804, 0.05 
22336, 155, 17.0, 0.0, 0.25272834300994873, 0.05 
22473, 156, 20.0, 0.0, 0.297182559967041, 0.05 
22637, 157, 23.0, 1.0, 0.053370196372270584, 0.05 
22760, 158, 14.0, 1.0, 0.0727882981300354, 0.05 
22922, 159, 18.0, 1.0, 0.07071185111999512, 0.05 
23066, 160, 20.0, 1.0, 0.39805442094802856, 0.05 
23203, 161, 15.0, 1.0, 0.1254786252975464, 0.05 
23346, 162, 22.0, 1.0, 0.16426628828048706, 0.05 
23462, 163, 10.0, 1.0, 0.4004383087158203, 0.05 
23642, 164, 24.0, 0.0, 0.08537707477807999, 0.05 
23807, 165, 22.0, 1.0, 0.23168177902698517, 0.05 
24002, 166, 23.0, 0.0, 0.47127556800842285, 0.05 
24194, 167, 26.0, 1.0, 0.26788461208343506, 0.05 
24408, 168, 36.0, 0.0, 0.24866297841072083, 0.05 
24617, 169, 26.0, 0.0, 0.1671983003616333, 0.05 
24809, 170, 27.0, 0.0, 0.23122277855873108, 0.05 
24974, 171, 28.0, 1.0, 0.1966569870710373, 0.05 
25097, 172, 12.0, 1.0, 0.12637054920196533, 0.05 
25248, 173, 22.0, 1.0, 0.24664735794067383, 0.05 
25404, 174, 17.0, 0.0, 0.3053363561630249, 0.05 
25523, 175, 12.0, -1.0, 0.2225215584039688, 0.05 
25606, 176, 9.0, 1.0, 0.15961959958076477, 0.05 
25740, 177, 16.0, 0.0, 0.15443958342075348, 0.05 
25902, 178, 23.0, 1.0, 0.31621959805488586, 0.05 
26066, 179, 21.0, 1.0, 0.2363273948431015, 0.05 
26202, 180, 18.0, 1.0, 0.1564929187297821, 0.05 
26324, 181, 11.0, 0.0, 0.14211562275886536, 0.05 
26530, 182, 32.0, 1.0, 0.12648865580558777, 0.05 
26788, 183, 37.0, 1.0, 0.0824396014213562, 0.05 
26898, 184, 10.0, 1.0, 0.19866077601909637, 0.05 
27037, 185, 18.0, 1.0, 0.12045755982398987, 0.05 
27200, 186, 26.0, 1.0, 0.14925754070281982, 0.05 
27373, 187, 27.0, 1.0, 0.05724429711699486, 0.05 
