iter, episode, ep_real_reward, reward, loss, epsilon 
128, 0, 7.0, 1.0, 0, 1.0 
255, 1, 10.0, -1.0, 0, 1.0 
404, 2, 10.0, 0.0, 0, 1.0 
561, 3, 9.0, 0.0, 0, 1.0 
676, 4, 9.0, 1.0, 0, 1.0 
823, 5, 8.0, 1.0, 0, 1.0 
945, 6, 9.0, 1.0, 0, 1.0 
1109, 7, 11.0, 1.0, 0, 1.0 
1292, 8, 8.0, 0.0, 0, 1.0 
1495, 9, 10.0, 1.0, 0, 1.0 
1652, 10, 12.0, 0.0, 0, 1.0 
1767, 11, 8.0, 0.0, 0, 1.0 
1918, 12, 7.0, -1.0, 0, 1.0 
2047, 13, 8.0, 0.0, 0, 1.0 
2224, 14, 8.0, 0.0, 0, 1.0 
2374, 15, 7.0, -0.5, 0, 1.0 
2517, 16, 10.0, 0.0, 0, 1.0 
2659, 17, 10.0, 0.0, 0, 1.0 
2782, 18, 6.0, 0.0, 0, 1.0 
2911, 19, 6.0, 1.0, 0, 1.0 
3077, 20, 9.0, 0.0, 0, 1.0 
3226, 21, 11.0, 0.0, 0, 1.0 
3344, 22, 7.0, 0.0, 0, 1.0 
3501, 23, 10.0, 0.0, 0, 1.0 
3685, 24, 8.0, 1.0, 0, 1.0 
3829, 25, 9.0, 0.0, 0, 1.0 
3990, 26, 10.0, 0.0, 0, 1.0 
4128, 27, 12.0, 0.0, 0, 1.0 
4245, 28, 8.0, 0.0, 0, 1.0 
4406, 29, 8.0, 0.0, 0, 1.0 
4581, 30, 9.0, 1.0, 0, 1.0 
4685, 31, 10.0, 1.0, 0, 1.0 
4802, 32, 6.0, 1.0, 0, 1.0 
4938, 33, 9.0, 1.0, 0, 1.0 
5083, 34, 11.0, 0.0, 0, 1.0 
5205, 35, 9.0, 0.0, 0, 1.0 
5349, 36, 5.0, 0.0, 0, 1.0 
5492, 37, 8.0, 0.0, 0, 1.0 
5604, 38, 7.0, 1.0, 0, 1.0 
5768, 39, 5.0, 0.0, 0, 1.0 
5937, 40, 12.0, 1.0, 0, 1.0 
6095, 41, 8.0, 0.0, 0, 1.0 
6255, 42, 10.0, -1.0, 0, 1.0 
6362, 43, 9.0, 0.0, 0, 1.0 
6504, 44, 10.0, 0.0, 0, 1.0 
6628, 45, 7.0, 1.0, 0, 1.0 
6769, 46, 8.0, 1.0, 0, 1.0 
6854, 47, 8.0, 1.0, 0, 1.0 
7022, 48, 7.0, 1.0, 0, 1.0 
7178, 49, 7.0, 1.0, 0, 1.0 
7299, 50, 7.0, 1.0, 0, 1.0 
7409, 51, 5.0, 0.0, 0, 1.0 
7575, 52, 8.0, 0.0, 0, 1.0 
7697, 53, 8.0, 1.0, 0, 1.0 
7824, 54, 7.0, 0.0, 0, 1.0 
7947, 55, 12.0, 0.0, 0, 1.0 
8099, 56, 8.0, 0.0, 0, 1.0 
8247, 57, 9.0, 0.0, 0, 1.0 
8364, 58, 7.0, 1.0, 0, 1.0 
8551, 59, 8.0, 0.0, 0, 1.0 
8748, 60, 9.0, 0.0, 0, 1.0 
8899, 61, 9.0, 0.0, 0, 1.0 
9070, 62, 10.0, 0.0, 0, 1.0 
9157, 63, 8.0, 1.0, 0, 1.0 
9342, 64, 10.0, 0.0, 0, 1.0 
9510, 65, 8.0, 0.0, 0, 1.0 
9669, 66, 10.0, 0.0, 0, 1.0 
9823, 67, 6.0, 0.0, 0, 1.0 
9985, 68, 7.0, 1.0, 0, 1.0 
10097, 69, 9.0, 0.0, 0.17288923263549805, 0.8911262424060329 
10214, 70, 8.0, 1.0, 0.30382025241851807, 0.7743328316284621 
10302, 71, 7.0, 0.0, 0.013242309913039207, 0.6966884929894798 
10392, 72, 7.0, 0.0, 0.17126332223415375, 0.6253262625199449 
10501, 73, 9.0, 1.0, 0.47324395179748535, 0.5486139413205896 
10625, 74, 9.0, 0.0, 0.1570987105369568, 0.47272113084068873 
10714, 75, 7.0, 1.0, 0.4514648914337158, 0.42480978665362285 
10824, 76, 9.0, 0.0, 0.16316428780555725, 0.372248724280211 
10942, 77, 10.0, 0.0, 0.3155869245529175, 0.32307264869022895 
11042, 78, 10.0, 0.0, 0.4332590699195862, 0.28651908803113696 
11165, 79, 10.0, 0.0, 0.5945289731025696, 0.24717992875101136 
11287, 80, 10.0, 1.0, 0.6021243333816528, 0.21349824608552795 
11435, 81, 15.0, 0.0, 0.5961399674415588, 0.1787381654758232 
11598, 82, 11.0, 1.0, 0.4608497619628906, 0.14696647775373423 
11753, 83, 9.0, 1.0, 0.16209259629249573, 0.1220087579852512 
11960, 84, 12.0, 0.0, 0.012083234265446663, 0.09515847594362349 
12111, 85, 8.0, 0.0, 0.013825733214616776, 0.07937908040171077 
12267, 86, 7.0, 0.0, 0.2829974889755249, 0.06581991503138233 
12463, 87, 8.0, 1.0, 0.03038087487220764, 0.052017553014497585 
12624, 88, 6.0, 0.0, 0.020894667133688927, 0.05 
13020, 89, 15.0, 0.0, 0.3097154498100281, 0.05 
13182, 90, 9.0, 0.0, 0.016803596168756485, 0.05 
13309, 91, 6.0, 0.0, 0.4507770538330078, 0.05 
13525, 92, 12.0, 0.0, 0.035794537514448166, 0.05 
13688, 93, 9.0, 1.0, 0.47124141454696655, 0.05 
13852, 94, 8.0, 1.0, 0.5724099278450012, 0.05 
14016, 95, 11.0, 1.0, 0.3188864588737488, 0.05 
14208, 96, 8.0, 0.0, 0.14671649038791656, 0.05 
14367, 97, 9.0, 0.0, 0.2875773310661316, 0.05 
14548, 98, 8.0, 0.0, 0.15417973697185516, 0.05 
14810, 99, 12.0, 1.0, 0.5577216148376465, 0.05 
14985, 100, 14.0, 0.0, 0.15403501689434052, 0.05 
15144, 101, 11.0, 0.0, 0.01958402246236801, 0.05 
15391, 102, 11.0, -1.0, 0.01310572400689125, 0.05 
15526, 103, 11.0, 1.0, 0.16196942329406738, 0.05 
15761, 104, 17.0, 1.0, 0.12939004600048065, 0.05 
15936, 105, 10.0, 1.0, 0.01742948219180107, 0.05 
16063, 106, 9.0, 1.0, 0.5545817017555237, 0.05 
16260, 107, 13.0, 0.0, 0.4437936842441559, 0.05 
16442, 108, 9.0, 0.0, 0.324691504240036, 0.05 
16655, 109, 15.0, 1.0, 0.1652781218290329, 0.05 
16781, 110, 13.0, 1.0, 0.038532014936208725, 0.05 
16977, 111, 15.0, -1.0, 0.20011144876480103, 0.05 
17142, 112, 9.0, 1.0, 0.011276833713054657, 0.05 
17291, 113, 12.0, 0.0, 0.029159754514694214, 0.05 
17487, 114, 22.0, 1.0, 0.32560980319976807, 0.05 
17613, 115, 11.0, 1.0, 0.43350473046302795, 0.05 
17761, 116, 15.0, 0.0, 0.26994284987449646, 0.05 
17959, 117, 21.0, 0.0, 0.16630996763706207, 0.05 
18147, 118, 14.0, 1.0, 0.031989164650440216, 0.05 
18249, 119, 13.0, 0.0, 0.16149073839187622, 0.05 
18439, 120, 18.0, 0.0, 0.29876792430877686, 0.05 
18569, 121, 13.0, 0.0, 0.3381688892841339, 0.05 
18777, 122, 21.0, 1.0, 0.4620688259601593, 0.05 
18935, 123, 17.0, 0.0, 0.3147391676902771, 0.05 
19076, 124, 10.0, 0.0, 0.3088702857494354, 0.05 
19209, 125, 15.0, -1.0, 0.4307916462421417, 0.05 
19338, 126, 15.0, 1.0, 0.053659163415431976, 0.05 
19473, 127, 16.0, 1.0, 0.014553973451256752, 0.05 
19604, 128, 9.0, 0.0, 0.18641120195388794, 0.05 
19767, 129, 8.0, 1.0, 0.2810363471508026, 0.05 
19942, 130, 13.0, 0.0, 0.16094441711902618, 0.05 
20037, 131, 12.0, 1.0, 0.037971336394548416, 0.05 
20173, 132, 15.0, 1.0, 0.03292439877986908, 0.05 
20356, 133, 21.0, 1.0, 0.15972334146499634, 0.05 
20483, 134, 15.0, 1.0, 0.40704965591430664, 0.05 
20607, 135, 13.0, 0.0, 0.336241751909256, 0.05 
20731, 136, 13.0, 1.0, 0.45223304629325867, 0.05 
20874, 137, 14.0, 0.0, 0.4362547993659973, 0.05 
20978, 138, 10.0, 0.0, 0.025550110265612602, 0.05 
21119, 139, 14.0, 0.0, 0.16451020538806915, 0.05 
21203, 140, 11.0, 0.0, 0.035605039447546005, 0.05 
21326, 141, 12.0, 1.0, 0.6246895790100098, 0.05 
21482, 142, 19.0, 1.0, 0.1708836704492569, 0.05 
21599, 143, 13.0, 1.0, 0.64580899477005, 0.05 
21711, 144, 14.0, 1.0, 0.20008575916290283, 0.05 
21819, 145, 11.0, 1.0, 0.3064136505126953, 0.05 
21922, 146, 13.0, 0.0, 0.03563506901264191, 0.05 
22052, 147, 14.0, 1.0, 0.42565321922302246, 0.05 
22204, 148, 16.0, -1.0, 0.38590043783187866, 0.05 
22386, 149, 23.0, 0.0, 0.309087336063385, 0.05 
22513, 150, 16.0, 0.0, 0.12792783975601196, 0.05 
22602, 151, 11.0, 1.0, 0.21820218861103058, 0.05 
22739, 152, 18.0, 0.0, 0.5191150903701782, 0.05 
22852, 153, 11.0, 0.0, 0.43987566232681274, 0.05 
22954, 154, 13.0, 1.0, 0.06083022058010101, 0.05 
23160, 155, 18.0, 1.0, 0.4780099093914032, 0.05 
23315, 156, 13.0, 0.0, 0.46354541182518005, 0.05 
23482, 157, 20.0, 1.0, 0.14878076314926147, 0.05 
23658, 158, 25.0, -1.0, 0.47009825706481934, 0.05 
23817, 159, 21.0, 1.0, 0.2961839437484741, 0.05 
23927, 160, 13.0, 1.0, 0.04769621789455414, 0.05 
24079, 161, 15.0, 0.0, 0.05685967206954956, 0.05 
24245, 162, 19.0, 0.0, 0.30511635541915894, 0.05 
24465, 163, 28.0, 1.0, 0.24560369551181793, 0.05 
24684, 164, 28.0, 0.0, 0.5052132606506348, 0.05 
24872, 165, 20.0, 0.0, 0.172991544008255, 0.05 
25008, 166, 20.0, 1.0, 0.3166568875312805, 0.05 
25163, 167, 18.0, 0.0, 0.46245771646499634, 0.05 
25391, 168, 25.0, 1.0, 0.21427956223487854, 0.05 
25598, 169, 23.0, 0.0, 0.1791325956583023, 0.05 
25709, 170, 11.0, 1.0, 0.1729820966720581, 0.05 
25934, 171, 24.0, 1.0, 0.16657337546348572, 0.05 
26066, 172, 15.0, 1.0, 0.495063841342926, 0.05 
26189, 173, 13.0, 0.0, 0.7460174560546875, 0.05 
26351, 174, 17.0, 0.0, 0.31402772665023804, 0.05 
26596, 175, 30.0, 1.0, 0.07720185071229935, 0.05 
26720, 176, 13.0, 0.0, 0.33541038632392883, 0.05 
26912, 177, 21.0, 0.0, 0.34912848472595215, 0.05 
27068, 178, 25.0, 1.0, 0.0806782990694046, 0.05 
27216, 179, 17.0, 1.0, 0.40460312366485596, 0.05 
27410, 180, 19.0, 0.0, 0.3738445043563843, 0.05 
27596, 181, 21.0, 0.0, 0.28732559084892273, 0.05 
27835, 182, 27.0, 1.0, 0.2916256785392761, 0.05 
27976, 183, 19.0, 1.0, 0.3974924087524414, 0.05 
28111, 184, 18.0, 1.0, 0.5169010162353516, 0.05 
28269, 185, 23.0, 1.0, 0.10948628932237625, 0.05 
28491, 186, 26.0, 0.0, 0.0665668249130249, 0.05 
28649, 187, 24.0, 0.0, 0.16919708251953125, 0.05 
28813, 188, 21.0, 0.0, 0.15602506697177887, 0.05 
29059, 189, 31.0, 1.0, 0.15772682428359985, 0.05 
29198, 190, 19.0, 0.0, 0.4280867874622345, 0.05 
29361, 191, 20.0, -1.0, 0.320354163646698, 0.05 
29506, 192, 21.0, 0.0, 0.19525794684886932, 0.05 
29724, 193, 33.0, 0.0, 0.12654650211334229, 0.05 
29925, 194, 29.0, 0.0, 0.3552718758583069, 0.05 
30090, 195, 22.0, 0.0, 0.21291659772396088, 0.05 
30308, 196, 26.0, 0.0, 0.31716388463974, 0.05 
30458, 197, 18.0, 1.0, 0.03695815056562424, 0.05 
30653, 198, 23.0, 0.0, 0.17601753771305084, 0.05 
30800, 199, 25.0, 0.0, 0.3796115517616272, 0.05 
30974, 200, 29.0, 1.0, 0.3376370966434479, 0.05 
31180, 201, 31.0, 0.0, 0.5108720064163208, 0.05 
31395, 202, 27.0, 1.0, 0.3410695493221283, 0.05 
31604, 203, 33.0, 0.0, 0.07666860520839691, 0.05 
31831, 204, 33.0, 1.0, 0.23287688195705414, 0.05 
31990, 205, 22.0, 0.0, 0.2811705470085144, 0.05 
32183, 206, 24.0, 0.0, 0.4598723351955414, 0.05 
32372, 207, 27.0, 0.0, 0.1731262505054474, 0.05 
32541, 208, 20.0, 1.0, 0.24412138760089874, 0.05 
32727, 209, 31.0, 0.0, 0.24863044917583466, 0.05 
32937, 210, 30.0, 0.0, 0.29753708839416504, 0.05 
33086, 211, 16.0, 1.0, 0.03858976066112518, 0.05 
33259, 212, 27.0, 1.0, 0.04721891134977341, 0.05 
33400, 213, 22.0, -0.5, 0.30672043561935425, 0.05 
33546, 214, 15.0, 0.0, 0.3099793493747711, 0.05 
33722, 215, 27.0, 0.0, 0.1907704919576645, 0.05 
33880, 216, 22.0, 1.0, 0.06455652415752411, 0.05 
34063, 217, 30.0, 1.0, 0.06021886691451073, 0.05 
34285, 218, 36.0, 0.0, 0.30878961086273193, 0.05 
34453, 219, 28.0, 0.0, 0.1875552237033844, 0.05 
34610, 220, 23.0, 1.0, 0.1689569354057312, 0.05 
34805, 221, 32.0, 0.0, 0.10929127782583237, 0.05 
34952, 222, 24.0, 1.0, 0.09581909328699112, 0.05 
35151, 223, 32.0, 0.0, 0.09255923330783844, 0.05 
35368, 224, 38.0, 1.0, 0.21941837668418884, 0.05 
35600, 225, 39.0, 1.0, 0.037226513028144836, 0.05 
35784, 226, 26.0, 1.0, 0.1674715131521225, 0.05 
36006, 227, 33.0, 0.0, 0.05934101343154907, 0.05 
36119, 228, 13.0, 1.0, 0.38185936212539673, 0.05 
36327, 229, 33.0, 1.0, 0.21397040784358978, 0.05 
36518, 230, 31.0, 1.0, 0.17481064796447754, 0.05 
36733, 231, 29.0, 1.0, 0.17375899851322174, 0.05 
36953, 232, 40.0, 0.0, 0.250759482383728, 0.05 
37118, 233, 30.0, 1.0, 0.15118557214736938, 0.05 
37383, 234, 25.0, 0.0, 0.4251578450202942, 0.05 
37598, 235, 35.0, 0.0, 0.1404878944158554, 0.05 
37829, 236, 33.0, 1.0, 0.06942570954561234, 0.05 
38020, 237, 29.0, 1.0, 0.045507222414016724, 0.05 
38234, 238, 36.0, 1.0, 0.03529536724090576, 0.05 
38425, 239, 33.0, 1.0, 0.24584338068962097, 0.05 
38667, 240, 33.0, 0.0, 0.23837043344974518, 0.05 
38854, 241, 29.0, 1.0, 0.19481894373893738, 0.05 
39042, 242, 27.0, 1.0, 0.39640364050865173, 0.05 
39217, 243, 28.0, 1.0, 0.7890973687171936, 0.05 
39426, 244, 37.0, 0.0, 0.22143149375915527, 0.05 
39601, 245, 26.0, 0.0, 0.3612213730812073, 0.05 
39775, 246, 30.0, 1.0, 0.17148186266422272, 0.05 
39987, 247, 38.0, 1.0, 0.26978039741516113, 0.05 
40177, 248, 29.0, 1.0, 0.06559109687805176, 0.05 
40327, 249, 21.0, 0.0, 0.3081984519958496, 0.05 
40558, 250, 37.0, 1.0, 0.34059572219848633, 0.05 
40708, 251, 24.0, 0.0, 0.08059867471456528, 0.05 
40863, 252, 21.0, 0.0, 0.39754292368888855, 0.05 
41025, 253, 21.0, 0.0, 0.23953266441822052, 0.05 
41141, 254, 18.0, -1.0, 0.2278662919998169, 0.05 
41318, 255, 33.0, 1.0, 0.45434701442718506, 0.05 
41480, 256, 21.0, 0.0, 0.0805261880159378, 0.05 
41670, 257, 36.0, 1.0, 0.07159953564405441, 0.05 
41854, 258, 30.0, 1.0, 0.3293106257915497, 0.05 
42047, 259, 33.0, 0.0, 0.2554375231266022, 0.05 
42265, 260, 29.0, 0.0, 0.2273551970720291, 0.05 
42444, 261, 31.0, 1.0, 0.47272998094558716, 0.05 
42680, 262, 37.0, 1.0, 0.10773884505033493, 0.05 
42879, 263, 33.0, 0.0, 0.1077398955821991, 0.05 
43085, 264, 35.0, 0.0, 0.19768625497817993, 0.05 
43273, 265, 29.0, 0.0, 0.18620076775550842, 0.05 
43536, 266, 29.0, 0.0, 0.0607614666223526, 0.05 
43741, 267, 35.0, 1.0, 0.07956849038600922, 0.05 
43954, 268, 35.0, 0.0, 0.3319016098976135, 0.05 
44154, 269, 31.0, 1.0, 0.14427146315574646, 0.05 
44327, 270, 31.0, 1.0, 0.24857160449028015, 0.05 
44567, 271, 31.0, 1.0, 0.19979353249073029, 0.05 
44777, 272, 35.0, 1.0, 0.3061794340610504, 0.05 
44906, 273, 26.0, 1.0, 0.12058044224977493, 0.05 
45079, 274, 37.0, 1.0, 0.3783169388771057, 0.05 
45326, 275, 39.0, 1.0, 0.04825568199157715, 0.05 
45551, 276, 37.0, 1.0, 0.05150927975773811, 0.05 
45774, 277, 30.0, 0.0, 0.07031327486038208, 0.05 
45965, 278, 30.0, 1.0, 0.2451092004776001, 0.05 
46209, 279, 42.0, 1.0, 0.0755704939365387, 0.05 
