iter, episode, ep_real_reward, reward, loss, epsilon 
119, 0, 8.0, 0.0, 0, 1.0 
240, 1, 6.0, 1.0, 0, 1.0 
430, 2, 13.0, -0.01, 0, 1.0 
559, 3, 8.0, 1.0, 0, 1.0 
683, 4, 5.0, 0.0, 0, 1.0 
846, 5, 7.0, 1.0, 0, 1.0 
1008, 6, 7.0, 1.0, 0, 1.0 
1173, 7, 7.0, 0.0, 0, 1.0 
1340, 8, 9.0, 1.0, 0, 1.0 
1476, 9, 9.0, 1.0, 0, 1.0 
1690, 10, 11.0, 0.0, 0, 1.0 
1889, 11, 9.0, -0.01, 0, 1.0 
2010, 12, 7.0, 0.0, 0, 1.0 
2142, 13, 7.0, 1.0, 0, 1.0 
2251, 14, 9.0, 0.0, 0, 1.0 
2405, 15, 12.0, 0.0, 0, 1.0 
2533, 16, 8.0, 1.0, 0, 1.0 
2646, 17, 7.0, 1.0, 0, 1.0 
2782, 18, 7.0, 0.0, 0, 1.0 
2931, 19, 9.0, 0.0, 0, 1.0 
3070, 20, 9.0, 0.0, 0, 1.0 
3236, 21, 7.0, 1.0, 0, 1.0 
3417, 22, 12.0, 0.0, 0, 1.0 
3585, 23, 14.0, 1.0, 0, 1.0 
3714, 24, 7.0, 1.0, 0, 1.0 
3837, 25, 8.0, 0.0, 0, 1.0 
4001, 26, 11.0, 0.0, 0, 1.0 
4155, 27, 8.0, 0.0, 0, 1.0 
4338, 28, 8.0, -0.02, 0, 1.0 
4509, 29, 7.0, 0.0, 0, 1.0 
4606, 30, 9.0, 1.0, 0, 1.0 
4729, 31, 7.0, 0.0, 0, 1.0 
4845, 32, 8.0, 1.0, 0, 1.0 
5001, 33, 7.0, 0.0, 0, 1.0 
5124, 34, 9.0, 0.0, 0, 1.0 
5356, 35, 9.0, 0.0, 0, 1.0 
5485, 36, 6.0, 1.0, 0, 1.0 
5612, 37, 8.0, 1.0, 0, 1.0 
5773, 38, 7.0, 0.0, 0, 1.0 
5873, 39, 9.0, 0.0, 0, 1.0 
6006, 40, 8.0, 0.0, 0, 1.0 
6188, 41, 7.0, 1.0, 0, 1.0 
6351, 42, 6.0, 0.0, 0, 1.0 
6509, 43, 11.0, 0.0, 0, 1.0 
6684, 44, 11.0, 0.0, 0, 1.0 
6847, 45, 7.0, 1.0, 0, 1.0 
7008, 46, 10.0, 1.0, 0, 1.0 
7122, 47, 6.0, 0.0, 0, 1.0 
7293, 48, 10.0, 0.0, 0, 1.0 
7437, 49, 7.0, 1.0, 0, 1.0 
7546, 50, 8.0, 0.0, 0, 1.0 
7696, 51, 6.0, 0.0, 0, 1.0 
7834, 52, 8.0, 1.0, 0, 1.0 
7946, 53, 12.0, 1.0, 0, 1.0 
8089, 54, 9.0, 1.0, 0, 1.0 
8263, 55, 11.0, 1.0, 0, 1.0 
8407, 56, 11.0, -0.02, 0, 1.0 
8525, 57, 6.0, 1.0, 0, 1.0 
8650, 58, 5.0, 1.0, 0, 1.0 
8818, 59, 8.0, 1.0, 0, 1.0 
8930, 60, 9.0, 1.0, 0, 1.0 
9089, 61, 13.0, 1.0, 0, 1.0 
9197, 62, 6.0, 0.0, 0, 1.0 
9285, 63, 7.0, 0.0, 0, 1.0 
9450, 64, 11.0, 0.0, 0, 1.0 
9648, 65, 6.0, 1.0, 0, 1.0 
9839, 66, 9.0, 0.0, 0, 1.0 
9931, 67, 8.0, 0.0, 0, 1.0 
10062, 68, 7.0, 0.0, 0.0385347343981266, 1.0 
10170, 69, 10.0, 0.0, 0.007316632196307182, 0.9992 
10312, 70, 7.0, 1.0, 0.01362987793982029, 0.99840064 
10459, 71, 6.0, 0.0, 0.013110226020216942, 0.9976019194879999 
10595, 72, 13.0, 0.0, 0.023800784721970558, 0.9968038379524095 
10790, 73, 11.0, 1.0, 0.024531695991754532, 0.9960063948820475 
10952, 74, 8.0, 0.0, 0.023934774100780487, 0.9952095897661418 
11072, 75, 7.0, 0.0, 0.02506551891565323, 0.9944134220943289 
11193, 76, 12.0, 1.0, 0.04211205244064331, 0.9936178913566535 
11300, 77, 7.0, 1.0, 0.05740203708410263, 0.9928229970435681 
11457, 78, 9.0, 0.0, 0.011586547829210758, 0.9920287386459332 
11558, 79, 9.0, 0.0, 0.030984723940491676, 0.9912351156550164 
11717, 80, 9.0, -0.02, 0.015430213883519173, 0.9904421275624924 
11836, 81, 7.0, 1.0, 0.015710212290287018, 0.9896497738604424 
11924, 82, 7.0, 1.0, 0.05450209975242615, 0.9888580540413541 
12048, 83, 9.0, 1.0, 0.016033828258514404, 0.988066967598121 
12216, 84, 12.0, -0.02, 0.029077276587486267, 0.9872765140240425 
12334, 85, 9.0, 1.0, 0.015118859708309174, 0.9864866928128232 
12481, 86, 8.0, 0.0, 0.013112575747072697, 0.9856975034585729 
12627, 87, 11.0, 0.0, 0.02641376666724682, 0.984908945455806 
12763, 88, 9.0, 1.0, 0.022063549607992172, 0.9841210182994413 
12919, 89, 7.0, 0.0, 0.024853356182575226, 0.9833337214848017 
13074, 90, 13.0, -0.02, 0.04047844931483269, 0.9825470545076138 
13192, 91, 7.0, 1.0, 0.018737683072686195, 0.9817610168640077 
13311, 92, 8.0, 1.0, 0.004233465064316988, 0.9809756080505165 
13477, 93, 9.0, 0.0, 0.032444365322589874, 0.980190827564076 
13637, 94, 6.0, 0.0, 0.018031124025583267, 0.9794066749020248 
13755, 95, 10.0, 1.0, 0.05940371751785278, 0.9786231495621032 
13885, 96, 6.0, 1.0, 0.01749512180685997, 0.9778402510424534 
14012, 97, 8.0, 0.0, 0.030595896765589714, 0.9770579788416195 
14135, 98, 9.0, 1.0, 0.008565641939640045, 0.9762763324585462 
14294, 99, 8.0, 0.0, 0.007060823030769825, 0.9754953113925793 
14481, 100, 10.0, 0.0, 0.015077534131705761, 0.9747149151434652 
14587, 101, 8.0, 0.0, 0.012077109888195992, 0.9739351432113504 
14704, 102, 6.0, 0.0, 0.04613174498081207, 0.9731559950967813 
14826, 103, 7.0, 1.0, 0.018015045672655106, 0.9723774703007039 
14942, 104, 6.0, -0.01, 0.019910059869289398, 0.9715995683244633 
15078, 105, 11.0, 1.0, 0.03308018669486046, 0.9708222886698037 
15196, 106, 9.0, 0.0, 0.0378706119954586, 0.9700456308388679 
15361, 107, 8.0, 0.0, 0.03533783555030823, 0.9692695943341968 
15495, 108, 10.0, 0.0, 0.02924775332212448, 0.9684941786587294 
15655, 109, 15.0, -0.02, 0.02943643555045128, 0.9677193833158024 
15837, 110, 9.0, 1.0, 0.02892303466796875, 0.9669452078091497 
15994, 111, 7.0, 0.0, 0.04581376910209656, 0.9661716516429024 
16114, 112, 7.0, 1.0, 0.02017221972346306, 0.9653987143215881 
16261, 113, 10.0, 0.0, 0.023032784461975098, 0.9646263953501308 
