
=== CONFIG ===
NUM_EPISODES=10000
DISCOUNT=0.995
LEARNING_RATE=0.0001
BATCH_SIZE=128
ACTION_NUM=5
COPY_RATE=2000
EPSILON=1.0
EPSILON_END=0.05
EPSILON_DECAY=0.997
BUFFERSIZE=150000
EXPLORATIONTIME=10000
TRAIN_EVERY=4
MODEL_NAME=dqn-po_zmianach_kar_bez_normalizacji
DUELING=True
MOVE_IN_PLACE_PENALTY=0.5
BACKWARDS_PENALTY=1
DEATHPENALTY=10
REWARD_NORMALISATION=False
=== LOG ===
iter, episode, ep_real_reward, reward, loss, epsilon 
iter, episode, ep_real_reward, reward, loss, epsilon 
131, 0, 9.0, 1.0, 0.0, 1.0
251, 1, 7.0, 1.0, 0.0, 1.0
430, 2, 12.0, -1.0, 0.0, 1.0
578, 3, 8.0, 1.0, 0.0, 1.0
733, 4, 8.0, 0.0, 0.0, 1.0
898, 5, 7.0, 0.0, 0.0, 1.0
1007, 6, 8.0, 0.0, 0.0, 1.0
1166, 7, 10.0, -1.0, 0.0, 1.0
1290, 8, 9.0, 0.0, 0.0, 1.0
1392, 9, 9.0, 0.0, 0.0, 1.0
1551, 10, 8.0, -0.5, 0.0, 1.0
1670, 11, 7.0, 0.0, 0.0, 1.0
1782, 12, 9.0, 1.0, 0.0, 1.0
1944, 13, 9.0, -1.0, 0.0, 1.0
2056, 14, 6.0, 0.0, 0.0, 1.0
2243, 15, 7.0, 0.0, 0.0, 1.0
2400, 16, 10.0, 1.0, 0.0, 1.0
2559, 17, 6.0, 1.0, 0.0, 1.0
2755, 18, 7.0, 1.0, 0.0, 1.0
2874, 19, 5.0, 1.0, 0.0, 1.0
2992, 20, 9.0, 1.0, 0.0, 1.0
3123, 21, 10.0, 1.0, 0.0, 1.0
3267, 22, 10.0, 1.0, 0.0, 1.0
3431, 23, 17.0, 1.0, 0.0, 1.0
3541, 24, 7.0, 0.0, 0.0, 1.0
3696, 25, 8.0, 0.0, 0.0, 1.0
3816, 26, 9.0, 0.0, 0.0, 1.0
3944, 27, 6.0, 1.0, 0.0, 1.0
4052, 28, 8.0, -1.0, 0.0, 1.0
4152, 29, 7.0, 0.0, 0.0, 1.0
4313, 30, 10.0, 1.0, 0.0, 1.0
4433, 31, 7.0, 1.0, 0.0, 1.0
4562, 32, 10.0, 1.0, 0.0, 1.0
4735, 33, 8.0, 0.0, 0.0, 1.0
4887, 34, 11.0, 1.0, 0.0, 1.0
5048, 35, 8.0, 0.0, 0.0, 1.0
5198, 36, 6.0, 0.0, 0.0, 1.0
5306, 37, 5.0, 0.0, 0.0, 1.0
5486, 38, 10.0, -0.5, 0.0, 1.0
5639, 39, 6.0, 0.0, 0.0, 1.0
5753, 40, 6.0, 1.0, 0.0, 1.0
5875, 41, 6.0, 1.0, 0.0, 1.0
6017, 42, 7.0, 0.0, 0.0, 1.0
6172, 43, 8.0, 1.0, 0.0, 1.0
6314, 44, 11.0, 0.0, 0.0, 1.0
6434, 45, 6.0, 0.0, 0.0, 1.0
6555, 46, 6.0, 1.0, 0.0, 1.0
6675, 47, 9.0, 1.0, 0.0, 1.0
6835, 48, 9.0, -1.0, 0.0, 1.0
6998, 49, 9.0, 0.0, 0.0, 1.0
7184, 50, 10.0, -1.0, 0.0, 1.0
7325, 51, 6.0, 0.0, 0.0, 1.0
7455, 52, 6.0, 0.0, 0.0, 1.0
7564, 53, 8.0, 0.0, 0.0, 1.0
7688, 54, 10.0, 0.0, 0.0, 1.0
7877, 55, 15.0, 1.0, 0.0, 1.0
7995, 56, 5.0, 0.0, 0.0, 1.0
8154, 57, 9.0, 0.0, 0.0, 1.0
8281, 58, 6.0, 1.0, 0.0, 1.0
8438, 59, 12.0, 0.0, 0.0, 1.0
8557, 60, 10.0, 1.0, 0.0, 1.0
8731, 61, 11.0, -1.0, 0.0, 1.0
8858, 62, 7.0, 1.0, 0.0, 1.0
8985, 63, 10.0, 1.0, 0.0, 1.0
9108, 64, 6.0, 0.0, 0.0, 1.0
9227, 65, 10.0, 1.0, 0.0, 1.0
9347, 66, 6.0, 0.0, 0.0, 1.0
9500, 67, 10.0, -1.0, 0.0, 1.0
9663, 68, 9.0, 1.0, 0.0, 1.0
9837, 69, 9.0, 1.0, 0.0, 1.0
9955, 70, 7.0, 1.0, 0.0, 1.0
10090, 71, 7.0, 0.0, 0.3842826187610626, 1.0
10254, 72, 8.0, 0.0, 0.4443130791187286, 0.997
10408, 73, 9.0, -1.0, 0.0927305594086647, 0.994009
10646, 74, 8.0, 0.0, 0.3155601620674133, 0.991026973
10806, 75, 13.0, 1.0, 0.2364480346441269, 0.988053892081
10955, 76, 13.0, 1.0, 0.2979330122470855, 0.985089730404757
11090, 77, 10.0, 0.0, 0.2307090759277343, 0.9821344612135428
11300, 78, 10.0, -0.5, 0.4575181007385254, 0.979188057829902
11424, 79, 8.0, 0.0, 0.2363574057817459, 0.9762504936564124
11541, 80, 8.0, 1.0, 0.3024585545063019, 0.9733217421754432
11722, 81, 13.0, 1.0, 0.2994532585144043, 0.9704017769489168
11838, 82, 8.0, 1.0, 0.2386958301067352, 0.96749057161807
11937, 83, 9.0, 1.0, 0.2394419312477111, 0.9645880999032158
12036, 84, 8.0, 1.0, 0.3281760513782501, 0.961694335603506
12153, 85, 11.0, 0.0, 0.2369914203882217, 0.9588092525966956
12337, 86, 9.0, 0.0, 0.2296284437179565, 0.9559328248389056
12445, 87, 8.0, -0.5, 0.2299579232931137, 0.9530650263643888
12547, 88, 7.0, 1.0, 0.2359127402305603, 0.9502058312852956
12665, 89, 9.0, 0.0, 0.2969956398010254, 0.9473552137914398
12822, 90, 10.0, 0.0, 0.3792588114738464, 0.9445131481500656
12985, 91, 9.0, -1.0, 0.3757789731025696, 0.9416796087056152
13147, 92, 9.0, 1.0, 0.2428859919309616, 0.9388545698794984
13259, 93, 11.0, 1.0, 0.0907366126775741, 0.93603800616986
13452, 94, 10.0, -0.5, 0.366180419921875, 0.9332298921513504
13582, 95, 10.0, 0.0, 0.3833712339401245, 0.9304302024748964
13731, 96, 11.0, 0.0, 0.2335608005523681, 0.9276389118674716
13870, 97, 10.0, 1.0, 0.2495998293161392, 0.9248559951318692
13969, 98, 7.0, 1.0, 0.1561628580093383, 0.9220814271464736
14144, 99, 13.0, 1.0, 0.1706421822309494, 0.9193151828650342
14264, 100, 6.0, 1.0, 0.2355179786682129, 0.9165572373164392
14378, 101, 10.0, 1.0, 0.2433423995971679, 0.9138075656044898
14497, 102, 9.0, 1.0, 0.16656494140625, 0.9110661429076764
14671, 103, 11.0, 0.0, 0.3838676810264587, 0.9083329444789534
14824, 104, 7.0, -0.5, 0.2405892610549926, 0.9056079456455164
14935, 105, 10.0, -0.5, 0.2370401471853256, 0.90289112180858
15035, 106, 8.0, 0.0, 0.2417735159397125, 0.9001824484431542
15154, 107, 8.0, 1.0, 0.2443906962871551, 0.8974819010978248
15271, 108, 8.0, -0.5, 0.5214617252349854, 0.8947894553945313
15393, 109, 7.0, 1.0, 0.2282898873090744, 0.8921050870283477
15565, 110, 10.0, 1.0, 0.4338987469673157, 0.8894287717672626
15711, 111, 11.0, 0.0, 0.3716264963150024, 0.8867604854519608
15817, 112, 9.0, 0.0, 0.0864184945821762, 0.884100203995605
15972, 113, 10.0, 1.0, 0.3024967610836029, 0.8814479033836181
16144, 114, 7.0, 0.0, 0.152798905968666, 0.8788035596734672
16265, 115, 9.0, 0.0, 0.0927688255906105, 0.8761671489944468
16367, 116, 9.0, 0.0, 0.0907992720603942, 0.8735386475474635
16522, 117, 9.0, 0.0, 0.3903519809246063, 0.8709180316048211
16679, 118, 17.0, 0.0, 0.2441605478525161, 0.8683052775100066
16793, 119, 7.0, 0.0, 0.3664458096027374, 0.8657003616774767
16961, 120, 11.0, 0.0, 0.0874287858605384, 0.8631032605924442
17082, 121, 9.0, 1.0, 0.5245541334152222, 0.860513950810667
17234, 122, 10.0, 0.0, 0.2987329959869385, 0.857932408958235
17388, 123, 11.0, 0.0, 0.4916583597660064, 0.8553586117313603
17515, 124, 9.0, 0.0, 0.3126333355903625, 0.8527925358961662
17675, 125, 14.0, 0.0, 0.2324419170618057, 0.8502341582884777
17792, 126, 8.0, 1.0, 0.2459342926740646, 0.8476834558136123
17989, 127, 17.0, 1.0, 0.1619312167167663, 0.8451404054461714
18108, 128, 10.0, 0.0, 0.1570057421922683, 0.8426049842298329
18227, 129, 8.0, 1.0, 0.5109315514564514, 0.8400771692771434
18336, 130, 8.0, 0.0, 0.2453939020633697, 0.837556937769312
18477, 131, 15.0, 0.0, 0.2331792712211609, 0.835044266956004
18590, 132, 9.0, 0.0, 0.4031685292720794, 0.8325391341551359
18712, 133, 9.0, 0.0, 0.2440297901630401, 0.8300415167526705
18859, 134, 13.0, 0.0, 0.3058032393455505, 0.8275513922024125
19022, 135, 11.0, 1.0, 0.2348265498876571, 0.8250687380258053
19146, 136, 12.0, 1.0, 0.1706376522779464, 0.8225935318117279
19250, 137, 7.0, 1.0, 0.3643815517425537, 0.8201257512162927
19372, 138, 11.0, 1.0, 0.2250331342220306, 0.8176653739626438
19465, 139, 8.0, 1.0, 0.3110024333000183, 0.8152123778407558
19583, 140, 9.0, 0.0, 0.155936136841774, 0.8127667407072335
19726, 141, 12.0, 1.0, 0.220285028219223, 0.8103284404851119
19835, 142, 8.0, 0.0, 0.3008934557437897, 0.8078974551636565
19961, 143, 9.0, 0.0, 0.2381644695997238, 0.8054737627981655
20115, 144, 7.0, 0.0, 0.1677154898643493, 0.803057341509771
20255, 145, 12.0, 0.0, 0.4036447405815124, 0.8006481694852418
20420, 146, 9.0, -1.0, 0.236426755785942, 0.798246224976786
20568, 147, 11.0, 0.0, 0.1489968001842498, 0.7958514863018556
20690, 148, 10.0, 1.0, 0.5135053992271423, 0.79346393184295
20808, 149, 10.0, 0.0, 0.1728108525276184, 0.7910835400474212
20953, 150, 12.0, 0.0, 0.1571718454360962, 0.7887102894272789
21079, 151, 15.0, 0.0, 0.3632655143737793, 0.7863441585589971
21169, 152, 8.0, 1.0, 0.5684335231781006, 0.78398512608332
21358, 153, 10.0, 0.0, 0.2302490621805191, 0.7816331707050701
21466, 154, 5.0, 0.0, 0.2124740332365036, 0.7792882711929549
21566, 155, 12.0, 0.0, 0.5461698174476624, 0.776950406379376
21734, 156, 20.0, 1.0, 0.1660602837800979, 0.7746195551602378
21854, 157, 8.0, 1.0, 0.2208075225353241, 0.7722956964947572
21975, 158, 11.0, 1.0, 0.3912380635738373, 0.7699788094052729
22100, 159, 7.0, 1.0, 0.1937150657176971, 0.767668872977057
22208, 160, 6.0, 1.0, 0.3164148330688476, 0.7653658663581259
22337, 161, 11.0, 0.0, 0.1693861782550811, 0.7630697687590515
22456, 162, 7.0, 1.0, 0.2799471318721771, 0.7607805594527743
22570, 163, 9.0, 1.0, 0.2279431670904159, 0.7584982177744161
22677, 164, 7.0, 0.0, 0.1587829291820526, 0.7562227231210928
22839, 165, 14.0, 1.0, 0.437148243188858, 0.7539540549517295
22941, 166, 9.0, 1.0, 0.3690986633300781, 0.7516921927868743
23051, 167, 10.0, 0.0, 0.0943052396178245, 0.7494371162085136
23200, 168, 13.0, 0.0, 0.3049975335597992, 0.747188804859888
23389, 169, 8.0, 0.0, 0.1686407029628753, 0.7449472384453084
23506, 170, 13.0, 0.0, 0.0908842161297798, 0.7427123967299725
23630, 171, 9.0, 0.0, 0.2584547698497772, 0.7404842595397826
23783, 172, 10.0, 1.0, 0.2504741251468658, 0.7382628067611632
23903, 173, 9.0, 0.0, 0.2149845212697982, 0.7360480183408797
24010, 174, 9.0, 0.0, 0.2634785175323486, 0.7338398742858571
24147, 175, 15.0, 0.0, 0.1744002550840377, 0.7316383546629995
24250, 176, 10.0, 0.0, 0.288566380739212, 0.7294434395990105
24373, 177, 8.0, 1.0, 0.2798981666564941, 0.7272551092802134
24518, 178, 10.0, 0.0, 0.2723354697227478, 0.7250733439523728
24639, 179, 11.0, 1.0, 0.3298027217388153, 0.7228981239205157
24743, 180, 10.0, 0.0, 0.2800472974777221, 0.7207294295487541
24844, 181, 9.0, 1.0, 0.2749477624893188, 0.7185672412601078
24946, 182, 13.0, 1.0, 0.1914582550525665, 0.7164115395363275
25085, 183, 11.0, 0.0, 0.0503790415823459, 0.7142623049177186
25192, 184, 10.0, 0.0, 0.1689807027578354, 0.7121195180029655
25353, 185, 12.0, -1.0, 0.1922792792320251, 0.7099831594489566
25517, 186, 10.0, 1.0, 0.2375720292329788, 0.7078532099706097
25661, 187, 10.0, 0.0, 0.1942577213048935, 0.7057296503406979
25782, 188, 14.0, -1.0, 0.0935908704996109, 0.7036124613896758
25903, 189, 9.0, 0.0, 0.0645922794938087, 0.7015016240055068
26023, 190, 12.0, 0.0, 0.0252956300973892, 0.6993971191334902
26158, 191, 14.0, 1.0, 0.2751851081848144, 0.6972989277760897
26300, 192, 8.0, 1.0, 0.3625594079494476, 0.6952070309927615
26468, 193, 11.0, 0.0, 0.4519537389278412, 0.6931214098997832
26594, 194, 11.0, 1.0, 0.5147913098335266, 0.6910420456700839
26782, 195, 18.0, 0.0, 0.172477439045906, 0.6889689195330736
26931, 196, 15.0, 0.0, 0.1735215783119201, 0.6869020127744744
27058, 197, 10.0, 0.0, 0.4333691000938415, 0.684841306736151
27207, 198, 11.0, 1.0, 0.2368077337741851, 0.6827867828159425
27358, 199, 12.0, 1.0, 0.2964603900909424, 0.6807384224674947
27495, 200, 15.0, 0.0, 0.1844209432601928, 0.6786962072000923
27615, 201, 13.0, 1.0, 0.2932023406028747, 0.676660118578492
27765, 202, 12.0, 0.0, 0.274837464094162, 0.6746301382227565
27924, 203, 12.0, 1.0, 0.5846390724182129, 0.6726062478080883
28066, 204, 11.0, 0.0, 0.2476542890071869, 0.6705884290646641
28246, 205, 12.0, 0.0, 0.2265545427799224, 0.66857666377747
28357, 206, 8.0, 1.0, 0.1435775756835937, 0.6665709337861376
28481, 207, 8.0, 1.0, 0.2327495962381363, 0.6645712209847792
28638, 208, 12.0, 0.0, 0.1797401905059814, 0.6625775073218249
28792, 209, 17.0, 1.0, 0.1648252755403518, 0.6605897747998594
