iter, episode, ep_real_reward, reward, loss, epsilon 
188, 0, 8.0, -1.0, 0, 1.0 
341, 1, 10.0, 0.0, 0, 1.0 
498, 2, 11.0, 0.0, 0, 1.0 
617, 3, 5.0, 0.0, 0, 1.0 
779, 4, 7.0, 1.0, 0, 1.0 
904, 5, 8.0, 1.0, 0, 1.0 
1014, 6, 6.0, 0.0, 0, 1.0 
1200, 7, 11.0, 1.0, 0, 1.0 
1363, 8, 10.0, 0.0, 0, 1.0 
1477, 9, 11.0, 1.0, 0, 1.0 
1708, 10, 7.0, 0.0, 0, 1.0 
1857, 11, 9.0, 0.0, 0, 1.0 
1998, 12, 8.0, 1.0, 0, 1.0 
2100, 13, 10.0, 0.0, 0, 1.0 
2251, 14, 9.0, 0.0, 0, 1.0 
2403, 15, 6.0, 0.0, 0, 1.0 
2553, 16, 6.0, 0.0, 0, 1.0 
2681, 17, 6.0, 0.0, 0, 1.0 
2845, 18, 7.0, 1.0, 0, 1.0 
2965, 19, 7.0, 1.0, 0, 1.0 
3081, 20, 9.0, 1.0, 0, 1.0 
3230, 21, 6.0, 0.0, 0, 1.0 
3351, 22, 9.0, 1.0, 0, 1.0 
3536, 23, 9.0, 0.0, 0, 1.0 
3654, 24, 7.0, 1.0, 0, 1.0 
3774, 25, 8.0, 0.0, 0, 1.0 
3892, 26, 7.0, 1.0, 0, 1.0 
4001, 27, 10.0, -1.0, 0, 1.0 
4194, 28, 13.0, 0.0, 0, 1.0 
4318, 29, 7.0, 0.0, 0, 1.0 
4437, 30, 7.0, 1.0, 0, 1.0 
4596, 31, 10.0, 0.0, 0, 1.0 
4749, 32, 8.0, 1.0, 0, 1.0 
4942, 33, 8.0, 0.0, 0, 1.0 
5139, 34, 5.0, 0.0, 0, 1.0 
5350, 35, 10.0, 1.0, 0, 1.0 
5542, 36, 8.0, 0.0, 0, 1.0 
5732, 37, 11.0, 0.0, 0, 1.0 
5886, 38, 9.0, 0.0, 0, 1.0 
5994, 39, 7.0, -0.5, 0, 1.0 
6108, 40, 11.0, -0.5, 0, 1.0 
6202, 41, 7.0, 0.0, 0, 1.0 
6365, 42, 7.0, 0.0, 0, 1.0 
6501, 43, 11.0, 1.0, 0, 1.0 
6592, 44, 9.0, 0.0, 0, 1.0 
6730, 45, 7.0, 1.0, 0, 1.0 
6882, 46, 7.0, 0.0, 0, 1.0 
7076, 47, 10.0, -1.0, 0, 1.0 
7230, 48, 11.0, 1.0, 0, 1.0 
7382, 49, 10.0, -0.5, 0, 1.0 
7567, 50, 10.0, 0.0, 0, 1.0 
7735, 51, 6.0, 1.0, 0, 1.0 
7839, 52, 9.0, 1.0, 0, 1.0 
7952, 53, 7.0, 0.0, 0, 1.0 
8145, 54, 8.0, -1.0, 0, 1.0 
8267, 55, 7.0, 1.0, 0, 1.0 
8467, 56, 11.0, -1.0, 0, 1.0 
8590, 57, 5.0, 0.0, 0, 1.0 
8690, 58, 8.0, 0.0, 0, 1.0 
8814, 59, 9.0, 1.0, 0, 1.0 
8966, 60, 7.0, -1.0, 0, 1.0 
9105, 61, 11.0, 1.0, 0, 1.0 
9185, 62, 8.0, 1.0, 0, 1.0 
9371, 63, 12.0, -0.5, 0, 1.0 
9603, 64, 12.0, 1.0, 0, 1.0 
9809, 65, 9.0, 1.0, 0, 1.0 
9993, 66, 11.0, 0.0, 0, 1.0 
10147, 67, 9.0, 0.0, 0.9083625078201294, 1.0 
10333, 68, 15.0, 0.0, 1.0265575647354126, 0.998 
10470, 69, 8.0, 0.0, 0.9791553020477295, 0.996004 
10623, 70, 6.0, 0.0, 0.6821747422218323, 0.994011992 
10804, 71, 14.0, 0.0, 1.1269762516021729, 0.992023968016 
10917, 72, 7.0, -1.0, 1.2462286949157715, 0.990039920079968 
11078, 73, 7.0, 0.0, 0.9894514083862305, 0.9880598402398081 
11193, 74, 8.0, 1.0, 1.3412312269210815, 0.9860837205593285 
11347, 75, 8.0, 1.0, 0.36294397711753845, 0.9841115531182099 
11513, 76, 10.0, 0.0, 0.8998738527297974, 0.9821433300119734 
