iter, episode, ep_real_reward, reward, loss, epsilon 
4, 0, 0.0, -1.0, 0, 1.0 
8, 0, 0.0, -1.0, 0, 1.0 
12, 0, 0.0, 0.0, 0, 1.0 
16, 0, 0.0, -1.0, 0, 1.0 
20, 0, 2.0, -0.5, 0, 1.0 
24, 0, 2.0, -1.0, 0, 1.0 
28, 0, 3.0, 0.0, 0, 1.0 
32, 0, 3.0, 0.0, 0, 1.0 
36, 0, 4.0, 0.0, 0, 1.0 
40, 0, 4.0, 0.0, 0, 1.0 
44, 0, 4.0, 0.0, 0, 1.0 
48, 0, 5.0, 1.0, 0, 1.0 
52, 0, 5.0, 0.0, 0, 1.0 
56, 0, 6.0, 0.0, 0, 1.0 
60, 0, 6.0, 0.0, 0, 1.0 
64, 0, 6.0, 0.0, 0, 1.0 
68, 0, 6.0, -11.0, 0, 1.0 
72, 0, 7.0, 1.0, 0, 1.0 
76, 0, 7.0, 0.0, 0, 1.0 
80, 0, 7.0, 0.0, 0, 1.0 
84, 1, 1.0, 0.0, 0, 1.0 
88, 1, 1.0, 0.0, 0, 1.0 
92, 1, 1.0, 0.0, 0, 1.0 
96, 1, 3.0, 1.0, 0, 1.0 
100, 1, 3.0, -1.0, 0, 1.0 
104, 1, 4.0, -0.5, 0, 1.0 
108, 1, 4.0, 0.0, 0, 1.0 
112, 1, 4.0, 0.0, 0, 1.0 
116, 1, 4.0, -0.5, 0, 1.0 
120, 1, 5.0, 0.0, 0, 1.0 
124, 1, 5.0, -0.5, 0, 1.0 
128, 1, 5.0, -10.0, 0, 1.0 
132, 1, 5.0, -1.0, 0, 1.0 
136, 1, 5.0, 0.0, 0, 1.0 
140, 1, 5.0, -1.0, 0, 1.0 
144, 1, 5.0, -1.0, 0, 1.0 
148, 1, 6.0, 0.0, 0, 1.0 
152, 1, 6.0, 0.0, 0, 1.0 
156, 1, 6.0, -1.0, 0, 1.0 
160, 1, 6.0, 0.0, 0, 1.0 
164, 1, 6.0, -0.5, 0, 1.0 
168, 1, 6.0, 0.0, 0, 1.0 
172, 1, 6.0, -1.0, 0, 1.0 
176, 1, 7.0, 0.0, 0, 1.0 
180, 1, 7.0, -1.0, 0, 1.0 
184, 1, 7.0, 0.0, 0, 1.0 
188, 1, 7.0, -0.5, 0, 1.0 
192, 1, 7.0, 0.0, 0, 1.0 
196, 2, 0.0, -0.5, 0, 1.0 
200, 2, 0.0, 0.0, 0, 1.0 
204, 2, 0.0, -1.0, 0, 1.0 
208, 2, 1.0, 0.0, 0, 1.0 
212, 2, 1.0, -0.5, 0, 1.0 
216, 2, 1.0, -1.0, 0, 1.0 
220, 2, 1.0, -1.0, 0, 1.0 
224, 2, 1.0, 0.0, 0, 1.0 
228, 2, 1.0, 0.0, 0, 1.0 
232, 2, 1.0, 0.0, 0, 1.0 
236, 2, 1.0, -1.0, 0, 1.0 
240, 2, 2.0, 0.0, 0, 1.0 
244, 2, 2.0, -1.0, 0, 1.0 
248, 2, 2.0, 0.0, 0, 1.0 
252, 2, 3.0, -9.0, 0, 1.0 
256, 2, 3.0, -0.5, 0, 1.0 
260, 2, 3.0, -1.0, 0, 1.0 
264, 2, 4.0, 1.0, 0, 1.0 
268, 2, 4.0, 0.0, 0, 1.0 
272, 2, 4.0, 0.0, 0, 1.0 
276, 2, 4.0, 0.0, 0, 1.0 
280, 2, 5.0, -1.0, 0, 1.0 
284, 2, 5.0, -1.0, 0, 1.0 
288, 2, 5.0, 0.0, 0, 1.0 
292, 2, 6.0, 0.0, 0, 1.0 
296, 2, 6.0, 0.0, 0, 1.0 
300, 3, 1.0, 1.0, 0, 1.0 
304, 3, 1.0, -0.5, 0, 1.0 
308, 3, 1.0, 0.0, 0, 1.0 
312, 3, 1.0, -1.0, 0, 1.0 
316, 3, 1.0, -0.5, 0, 1.0 
320, 3, 2.0, -0.5, 0, 1.0 
324, 3, 3.0, 0.0, 0, 1.0 
328, 3, 4.0, 0.0, 0, 1.0 
332, 3, 4.0, 0.0, 0, 1.0 
336, 3, 4.0, -0.5, 0, 1.0 
340, 3, 5.0, 0.0, 0, 1.0 
344, 3, 5.0, 0.0, 0, 1.0 
348, 3, 6.0, -1.0, 0, 1.0 
352, 3, 6.0, -0.5, 0, 1.0 
356, 3, 7.0, 0.0, 0, 1.0 
360, 3, 7.0, 0.0, 0, 1.0 
364, 3, 7.0, 0.0, 0, 1.0 
368, 3, 8.0, 1.0, 0, 1.0 
372, 3, 8.0, 0.0, 0, 1.0 
376, 3, 8.0, 0.0, 0, 1.0 
380, 3, 8.0, -0.5, 0, 1.0 
384, 3, 8.0, -0.5, 0, 1.0 
388, 3, 9.0, 0.0, 0, 1.0 
392, 3, 9.0, 0.0, 0, 1.0 
396, 3, 9.0, -0.5, 0, 1.0 
400, 4, 0.0, -1.0, 0, 1.0 
404, 4, 1.0, -9.0, 0, 1.0 
408, 4, 1.0, 0.0, 0, 1.0 
412, 4, 2.0, 0.0, 0, 1.0 
416, 4, 2.0, 0.0, 0, 1.0 
420, 4, 2.0, -1.0, 0, 1.0 
424, 4, 2.0, 0.0, 0, 1.0 
428, 4, 2.0, 0.0, 0, 1.0 
432, 4, 2.0, 0.0, 0, 1.0 
436, 4, 3.0, 0.0, 0, 1.0 
440, 4, 3.0, -0.5, 0, 1.0 
444, 4, 3.0, 0.0, 0, 1.0 
448, 4, 3.0, -0.5, 0, 1.0 
452, 4, 4.0, 1.0, 0, 1.0 
456, 4, 4.0, 0.0, 0, 1.0 
460, 4, 5.0, 0.0, 0, 1.0 
464, 4, 6.0, 0.0, 0, 1.0 
468, 4, 7.0, 1.0, 0, 1.0 
472, 4, 7.0, -1.0, 0, 1.0 
476, 4, 7.0, -1.0, 0, 1.0 
480, 5, 0.0, 0.0, 0, 1.0 
484, 5, 0.0, 0.0, 0, 1.0 
488, 5, 0.0, -0.5, 0, 1.0 
492, 5, 0.0, 0.0, 0, 1.0 
496, 5, 0.0, 0.0, 0, 1.0 
500, 5, 1.0, -0.5, 0, 1.0 
504, 5, 1.0, 0.0, 0, 1.0 
508, 5, 1.0, 0.0, 0, 1.0 
512, 5, 1.0, 0.0, 0, 1.0 
516, 5, 1.0, 0.0, 0, 1.0 
520, 5, 2.0, -10.0, 0, 1.0 
524, 5, 2.0, 0.0, 0, 1.0 
528, 5, 3.0, 1.0, 0, 1.0 
532, 5, 4.0, -1.0, 0, 1.0 
536, 5, 4.0, -0.5, 0, 1.0 
540, 5, 4.0, -0.5, 0, 1.0 
544, 5, 5.0, 0.0, 0, 1.0 
548, 5, 6.0, 1.0, 0, 1.0 
552, 5, 6.0, -0.5, 0, 1.0 
556, 5, 6.0, -1.0, 0, 1.0 
560, 5, 6.0, -1.0, 0, 1.0 
564, 6, 0.0, -1.0, 0, 1.0 
568, 6, 1.0, 0.0, 0, 1.0 
572, 6, 2.0, -1.0, 0, 1.0 
576, 6, 2.0, -0.5, 0, 1.0 
580, 6, 2.0, -11.0, 0, 1.0 
584, 6, 2.0, -0.5, 0, 1.0 
588, 6, 3.0, 0.0, 0, 1.0 
592, 6, 3.0, -0.5, 0, 1.0 
596, 6, 5.0, -9.0, 0, 1.0 
600, 6, 5.0, -0.5, 0, 1.0 
604, 6, 6.0, -1.0, 0, 1.0 
608, 6, 6.0, 0.0, 0, 1.0 
612, 6, 6.0, 0.0, 0, 1.0 
616, 6, 6.0, 0.0, 0, 1.0 
620, 6, 7.0, -0.5, 0, 1.0 
624, 6, 7.0, 0.0, 0, 1.0 
628, 6, 7.0, -0.5, 0, 1.0 
632, 6, 7.0, 0.0, 0, 1.0 
636, 6, 7.0, 0.0, 0, 1.0 
640, 6, 7.0, 0.0, 0, 1.0 
644, 6, 7.0, -0.5, 0, 1.0 
648, 6, 8.0, -1.0, 0, 1.0 
652, 7, 0.0, -0.5, 0, 1.0 
656, 7, 1.0, 0.0, 0, 1.0 
660, 7, 2.0, 0.0, 0, 1.0 
664, 7, 2.0, -1.0, 0, 1.0 
668, 7, 2.0, -0.5, 0, 1.0 
672, 7, 2.0, -1.0, 0, 1.0 
676, 7, 2.0, -1.0, 0, 1.0 
680, 7, 3.0, 0.0, 0, 1.0 
684, 7, 3.0, -1.0, 0, 1.0 
688, 7, 3.0, -10.0, 0, 1.0 
692, 7, 3.0, 0.0, 0, 1.0 
696, 7, 4.0, 0.0, 0, 1.0 
700, 7, 5.0, 1.0, 0, 1.0 
704, 7, 5.0, -1.0, 0, 1.0 
708, 8, 1.0, -0.5, 0, 1.0 
712, 8, 1.0, -1.0, 0, 1.0 
716, 8, 1.0, -10.0, 0, 1.0 
720, 8, 1.0, -1.0, 0, 1.0 
724, 8, 2.0, 0.0, 0, 1.0 
728, 8, 3.0, -0.5, 0, 1.0 
732, 8, 3.0, 0.0, 0, 1.0 
736, 8, 4.0, -0.5, 0, 1.0 
740, 8, 4.0, 0.0, 0, 1.0 
744, 8, 5.0, -10.0, 0, 1.0 
748, 8, 5.0, -1.0, 0, 1.0 
752, 8, 6.0, 0.0, 0, 1.0 
756, 8, 6.0, -0.5, 0, 1.0 
760, 8, 6.0, 0.0, 0, 1.0 
764, 8, 7.0, -1.0, 0, 1.0 
768, 8, 7.0, 0.0, 0, 1.0 
772, 8, 7.0, 0.0, 0, 1.0 
776, 8, 7.0, -0.5, 0, 1.0 
780, 8, 7.0, -0.5, 0, 1.0 
784, 8, 8.0, 1.0, 0, 1.0 
788, 8, 8.0, 0.0, 0, 1.0 
792, 8, 9.0, 0.0, 0, 1.0 
796, 9, 0.0, 0.0, 0, 1.0 
800, 9, 1.0, 1.0, 0, 1.0 
804, 9, 2.0, 0.0, 0, 1.0 
808, 9, 3.0, -1.0, 0, 1.0 
812, 9, 3.0, 0.0, 0, 1.0 
816, 9, 3.0, 0.0, 0, 1.0 
820, 9, 3.0, 0.0, 0, 1.0 
824, 9, 3.0, 0.0, 0, 1.0 
828, 9, 3.0, 0.0, 0, 1.0 
832, 9, 3.0, 0.0, 0, 1.0 
836, 9, 3.0, -1.0, 0, 1.0 
840, 9, 4.0, 0.0, 0, 1.0 
844, 9, 4.0, -10.0, 0, 1.0 
848, 9, 4.0, 0.0, 0, 1.0 
852, 9, 4.0, 0.0, 0, 1.0 
856, 9, 4.0, 0.0, 0, 1.0 
860, 9, 4.0, -0.5, 0, 1.0 
864, 9, 4.0, -1.0, 0, 1.0 
868, 9, 6.0, -1.0, 0, 1.0 
872, 9, 6.0, 0.0, 0, 1.0 
876, 9, 6.0, -1.0, 0, 1.0 
880, 9, 6.0, -0.5, 0, 1.0 
884, 9, 7.0, 0.0, 0, 1.0 
888, 9, 8.0, 1.0, 0, 1.0 
892, 9, 8.0, -0.5, 0, 1.0 
896, 9, 8.0, 0.0, 0, 1.0 
900, 9, 8.0, 0.0, 0, 1.0 
904, 9, 8.0, 0.0, 0, 1.0 
908, 10, 0.0, 0.0, 0, 1.0 
912, 10, 1.0, -10.0, 0, 1.0 
