
=== CONFIG ===
NUM_EPISODES=5000
DISCOUNT=0.995
LEARNING_RATE=0.0005
BATCH_SIZE=64
ACTION_NUM=5
COPY_RATE=2000
EPSILON=1.0
EPSILON_END=0.05
EPSILON_DECAY=0.996
BUFFERSIZE=150000
EXPLORATIONTIME=10000
TRAIN_EVERY=4
MODEL_NAME=dqn-po_zmianach
DUELING=True
MOVE_IN_PLACE_PENALTY=0.5
BACKWARDS_PENALTY=1
DEATHPENALTY=10
REWARD_NORMALISATION=False
=== LOG ===
iter, episode, ep_real_reward, reward, loss, epsilon 
117, 0, 8.0, 1.0, 0, 1.0 
236, 1, 5.0, 1.0, 0, 1.0 
361, 2, 10.0, 1.0, 0, 1.0 
528, 3, 9.0, 0.0, 0, 1.0 
695, 4, 7.0, 0.0, 0, 1.0 
833, 5, 9.0, 1.0, 0, 1.0 
960, 6, 10.0, 1.0, 0, 1.0 
1113, 7, 10.0, 0.0, 0, 1.0 
1249, 8, 10.0, 1.0, 0, 1.0 
1366, 9, 7.0, 1.0, 0, 1.0 
1543, 10, 10.0, 1.0, 0, 1.0 
1686, 11, 8.0, 1.0, 0, 1.0 
1819, 12, 6.0, 0.0, 0, 1.0 
1969, 13, 9.0, 0.0, 0, 1.0 
2093, 14, 6.0, 1.0, 0, 1.0 
2256, 15, 10.0, -1.0, 0, 1.0 
2421, 16, 9.0, 0.0, 0, 1.0 
2582, 17, 6.0, 0.0, 0, 1.0 
2742, 18, 9.0, 0.0, 0, 1.0 
2902, 19, 7.0, -1.0, 0, 1.0 
3084, 20, 10.0, -0.5, 0, 1.0 
3204, 21, 6.0, 0.0, 0, 1.0 
3353, 22, 7.0, 0.0, 0, 1.0 
3550, 23, 12.0, 0.0, 0, 1.0 
3711, 24, 10.0, 0.0, 0, 1.0 
3824, 25, 10.0, 0.0, 0, 1.0 
4051, 26, 8.0, 0.0, 0, 1.0 
4215, 27, 7.0, 0.0, 0, 1.0 
4317, 28, 7.0, 0.0, 0, 1.0 
4446, 29, 7.0, 1.0, 0, 1.0 
4569, 30, 7.0, 1.0, 0, 1.0 
4749, 31, 8.0, 0.0, 0, 1.0 
4867, 32, 6.0, 0.0, 0, 1.0 
5000, 33, 9.0, 0.0, 0, 1.0 
5114, 34, 8.0, 0.0, 0, 1.0 
5239, 35, 8.0, 1.0, 0, 1.0 
5454, 36, 12.0, 0.0, 0, 1.0 
5598, 37, 11.0, 1.0, 0, 1.0 
5726, 38, 9.0, 0.0, 0, 1.0 
5856, 39, 7.0, 0.0, 0, 1.0 
5968, 40, 6.0, 0.0, 0, 1.0 
6158, 41, 9.0, -1.0, 0, 1.0 
6322, 42, 11.0, -1.0, 0, 1.0 
6482, 43, 7.0, -0.5, 0, 1.0 
6586, 44, 8.0, 0.0, 0, 1.0 
6665, 45, 8.0, 1.0, 0, 1.0 
6808, 46, 10.0, 1.0, 0, 1.0 
7042, 47, 9.0, 0.0, 0, 1.0 
7152, 48, 7.0, 0.0, 0, 1.0 
7331, 49, 11.0, 1.0, 0, 1.0 
7457, 50, 7.0, 1.0, 0, 1.0 
7618, 51, 6.0, 0.0, 0, 1.0 
7777, 52, 13.0, 1.0, 0, 1.0 
7900, 53, 6.0, 1.0, 0, 1.0 
8083, 54, 10.0, 0.0, 0, 1.0 
8201, 55, 8.0, 1.0, 0, 1.0 
8346, 56, 11.0, 0.0, 0, 1.0 
8458, 57, 6.0, 0.0, 0, 1.0 
8608, 58, 8.0, 0.0, 0, 1.0 
8799, 59, 8.0, 0.0, 0, 1.0 
8949, 60, 9.0, 1.0, 0, 1.0 
9108, 61, 11.0, 1.0, 0, 1.0 
9211, 62, 8.0, 0.0, 0, 1.0 
9384, 63, 7.0, 1.0, 0, 1.0 
9544, 64, 11.0, -1.0, 0, 1.0 
9659, 65, 8.0, 0.0, 0, 1.0 
9800, 66, 10.0, 0.0, 0, 1.0 
9958, 67, 8.0, 0.0, 0, 1.0 
10074, 68, 6.0, 1.0, 0.007281538564711809, 1.0 
10191, 69, 6.0, 1.0, 0.29611995816230774, 0.996 
10309, 70, 8.0, 1.0, 0.6124963760375977, 0.992016 
10456, 71, 10.0, 1.0, 0.17362144589424133, 0.988047936 
10594, 72, 8.0, 1.0, 0.2730002701282501, 0.984095744256 
10700, 73, 10.0, 1.0, 0.4784665107727051, 0.980159361278976 
10854, 74, 10.0, -1.0, 0.011602283455431461, 0.97623872383386 
10997, 75, 8.0, 0.0, 0.2990749776363373, 0.9723337689385245 
11112, 76, 9.0, 1.0, 0.7508969306945801, 0.9684444338627705 
